sku,title,cost_ex_vat,stock_on_hand,currency,section,category,source_sheet,effective_date
EP2-31337,Surface Laptop 13-inch Snapdragon Plus / 24GB RAM / 1TB / Windows 11 Pro - Platinum Metal,27258.00,6,ZAR,1 - SURFACE,SURFACE LAPTOP FOR BUSINESS 13-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-31279,Surface Laptop 13-inch Snapdragon Plus / 16GB RAM / 512GB / Windows 11 Pro - Platinum Metal,20316.00,81,ZAR,1 - SURFACE,SURFACE LAPTOP FOR BUSINESS 13-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-31000,Surface Laptop 13-inch Snapdragon Plus / 16GB RAM / 1TB / Windows 11 Pro - Platinum Metal,32321.00,0,ZAR,1 - SURFACE,SURFACE LAPTOP FOR BUSINESS 13-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-31225,Surface Laptop 13-inch Snapdragon Plus / 16GB RAM / 256GB / Windows 11 Pro - Platinum Metal,18704.00,141,ZAR,1 - SURFACE,SURFACE LAPTOP FOR BUSINESS 13-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-27225,Surface Pro 12-inch Snapdragon Plus / 16GB RAM / 1TB / Windows 11 Pro - Platinum,30529.00,0,ZAR,1 - SURFACE,SURFACE PRO 12-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-27242,Surface Pro 12-inch Snapdragon Plus / 24GB RAM / 1TB / Windows 11 Pro - Platinum,34982.00,0,ZAR,1 - SURFACE,SURFACE PRO 12-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-27208,Surface Pro 12-inch Snapdragon Plus / 16GB RAM / 512GB / Windows 11 Pro - Platinum,18704.00,124,ZAR,1 - SURFACE,SURFACE PRO 12-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-27191,Surface Pro 12-inch Snapdragon Plus / 16GB RAM / 256GB / Windows 11 Pro - Platinum,17186.00,89,ZAR,1 - SURFACE,SURFACE PRO 12-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
ZJQ-00015,Surface Laptop 6 13.5-inch Intel Ultra 5 / 16GB RAM / 256GB / Windows 11 Pro - Black,25004.00,3,ZAR,1 - SURFACE,SURFACE LAPTOP 6 13.5-INCH INTEL,Price List and Stock on Hand,14 April 2026
ZJV-00015,Surface Laptop 6 13.5-inch Intel Ultra 7 / 16GB RAM / 256GB / Windows 11 Pro - Black,28033.00,13,ZAR,1 - SURFACE,SURFACE LAPTOP 6 13.5-INCH INTEL,Price List and Stock on Hand,14 April 2026
